Titel;Firma;Beschreibung;Pensum;URL
Reinigungskraft;Confiseur Bachmann AG;Reinigungsarbeiten in der Confiserie-Filiale in Basel.;60–80%;https://www.jobs.ch/en/vacancies/?location=basel&term=reinigungskraft
Reinigungsmitarbeiter/in Gesundheitswesen;Vebego AG;Unterhaltsreinigung in einer Gesundheitseinrichtung in Basel.;20–40%;https://www.jobs.ch/en/vacancies/?location=basel&term=reinigung
Mitarbeiter/in Reinigung;Kanton Basel-Stadt;Reinigungsarbeiten im Justiz- und Sicherheitsdepartement Basel.;30–40%;https://www.jobs.ch/en/vacancies/detail/cf9f0886-738e-4443-b888-3de1ac1cae8a/
Küchenhilfe;Adullam-Stiftung;Mithilfe in der Grossküche, Abwasch und Rüstarbeiten in Basel.;Teilzeit;https://ch.indeed.com/q-k%C3%BCchenhilfe,-allrounder-l-basel,-bs-jobs.html
Spüler / Küchenhilfe (Nebenjob);DAE Employment;Spül- und Küchenhilfsarbeiten in einem Gastronomiebetrieb in Basel.;Teilzeit;https://www.recrudo.com/jobs/spuler-mwd-nebenjob-neuss-3
Lagermitarbeiter/Kommissionierer;Feldschlösschen;Kommissionierung von Kundenbestellungen im Lager in Rheinfelden.;100%;https://ch.indeed.com/q-lager-l-basel,-bs-jobs.html
Produktionsmitarbeiter Pharma;via Flexsis;Mitarbeit in der Pharmaproduktion in Basel oder Kaiseraugst im Schichtbetrieb.;100%;https://www.flexsis.ch/stellenangebot/67114-produktionsmitarbeiter-pharma-in-basel-oder-kaiseraugst-de/
Mitarbeiter/in Produktion und Verpackung;Thermo Fisher Scientific;Vorbereitung und Durchführung von Verpackungsaufträgen in Allschwil.;90–100%;https://ch.jooble.org/jobs-produktionsmitarbeiter-verpackung/Basel-BS
Hauswart/in;Equans Switzerland;Hauswartung und Gebäudeunterhalt an einem Standort in Basel.;100%;https://www.jobscout24.ch/en/jobs-in-basel/hauswart/
Unterhaltsreinigung;Prodoba AG;Unterhaltsreinigung von Büro- und Geschäftsräumen in Bottmingen.;40–60%;https://www.jobbasel.ch/job/mitarbeiter-unterhaltsreinigung-m-w-d/116501
Reinigungsmitarbeiter/in;Apleona Schweiz AG;Unterhaltsreinigung in der Region Basel und Baselland.;20–30%;https://quereinsteiger-stellen.ch/reinigung-jobs-basel
Objektleitung und Reinigung (Nachtschicht);Prodoba Hotelservice AG;Mithilfe bei der Reinigung im Hotelbereich in Basel, Nachtschicht.;30–60%;https://www.myjob.ch/job/suche-reinigung-im-kanton-Basel-Stadt
